Date,MXWD Index,LEGATRUU Index
2020-01-02,510.06867,512.3369
2020-01-03,507.33369,513.3938
2020-01-06,505.92077,513.3474
2020-01-07,508.07646,511.9721
2020-01-08,509.82236,510.9523
2020-01-09,513.87177,509.965
2020-01-10,512.90119,510.9379
2020-01-13,514.65658,510.4613
2020-01-14,515.11203,510.7093
2020-01-15,514.21133,511.885
2020-01-16,518.08478,511.6398
2020-01-17,522.25958,510.8919
2020-01-20,522.43441,510.6836
2020-01-21,519.91571,512.3263
2020-01-22,520.74148,512.471
2020-01-23,520.98272,513.4721
2020-01-24,519.89326,513.916
2020-01-27,512.04639,515.6337
2020-01-28,515.39386,514.4809
2020-01-29,515.53421,515.3221
2020-01-30,512.31709,516.707
2020-01-31,504.03429,518.2026
2020-02-03,506.73388,517.1526
2020-02-04,515.22225,515.4651
2020-02-05,521.27734,513.7101
2020-02-06,525.45285,513.3907
2020-02-07,524.12556,514.5674
2020-02-10,527.05353,514.8619
2020-02-11,528.75526,514.2931
2020-02-12,534.07905,513.5717
2020-02-13,534.7126,513.4794
2020-02-14,534.96228,513.8022
2020-02-17,535.47203,513.5594
2020-02-18,534.35505,514.1407
2020-02-19,537.31264,512.7928
2020-02-20,534.63458,512.6436
2020-02-21,527.42798,514.5616
2020-02-24,511.20688,516.2031
2020-02-25,498.85978,517.6144
2020-02-26,496.20029,516.8015
2020-02-27,475.33415,518.3495
2020-02-28,466.10063,521.688
2020-03-02,472.67317,524.019
2020-03-03,467.97347,526.1759
2020-03-04,482.02131,526.9108
2020-03-05,468.73132,528.5738
2020-03-06,455.44724,534.5859
2020-03-09,417.43052,538.9731
2020-03-10,434.30576,531.5222
2020-03-11,419.628,528.2103
2020-03-12,383.06776,519.6413
2020-03-13,407.08266,514.0993
2020-03-16,367.31105,515.3382
2020-03-17,386.06908,506.6228
2020-03-18,371.24687,495.598
2020-03-19,378.09032,491.7119
2020-03-20,372.28387,494.7105
2020-03-23,357.21105,496.8553
2020-03-24,386.98038,498.2149
2020-03-25,393.67609,499.2641
2020-03-26,405.76297,506.7601
2020-03-27,393.40386,510.4101
2020-03-30,403.84719,511.474
2020-03-31,403.19615,509.9988
2020-04-01,389.93071,510.5404
2020-04-02,397.79072,509.2771
2020-04-03,394.3202,508.0991
2020-04-06,415.40057,506.9536
2020-04-07,415.82884,508.1802
2020-04-08,425.51611,508.6688
2020-04-09,429.37719,512.4361
2020-04-10,429.14659,512.4616
2020-04-13,427.19126,513.5991
2020-04-14,435.66147,515.1297
2020-04-15,428.14152,515.3392
2020-04-16,432.03157,514.9951
2020-04-17,441.94838,515.3022
2020-04-20,437.17406,514.6801
2020-04-21,425.03698,513.9709
2020-04-22,433.73484,513.2003
2020-04-23,435.18679,514.7271
2020-04-24,438.09826,515.1652
2020-04-27,444.44848,515.4144
