,Isin,Valorisation,Poids%
0,LU1883854199,150000.0,0.01
1,LU1191877379,150000.0,0.13056000911222546
2,LU1244893696,150000.0,0.01
3,LU1919842267,150000.0,0.01
4,PIRPEUR LX,150000.0,0.01000000000000002
5,LU0072462186,150000.0,0.10849136833580049
6,ALGAATU LX,150000.0,0.05438180862736446
7,PFLDCPE LX,150000.0,0.01
8,FFGLCAE LX,150000.0,0.09202962025343595
9,NVDA US,150000.0,0.28464259951239557
10,9888 HK,150000.0,0.10359338505028269
11,BEAN SW,150000.0,0.01692514756759883
12,ASML NA,150000.0,0.05715685532610747
13,SIE GY,150000.0,0.07221920621478918
14,WQDA NA,150000.0,0.010000000000000021
15,LU1893597309,150000.0,0.01
16,LU0154236417,150000.0,0.010000000000000016
