Date,FR0010983924,LU0154236417,LU1883854199,LU1893597309,LU1919842267,LU1103207525,LU0072462186,LU1161527038,LU1160351208,LU1191877379,LU1279613365,LU1244893696,LU1882449801,FR0011288513,EURUSD
2020-01-02,,35.70278,300.29,138.06,127.2,560.42,68.08,219.64,110.13,11.93,14.04,171.92,18.28,126.99,1.1172
2020-01-03,,35.56212,299.54,137.01,126.83,560.96,67.9,219.86,110.33,11.93,14.01,171.42,18.35,127.01,1.1161
2020-01-06,171.86,35.30147,300.01,135.97,126.21,560.09,67.34,219.74,110.14,11.89,13.85,171.38,18.31,126.92,1.1197
2020-01-07,175.1,35.53801,300.27,136.42,127.05,559.98,67.68,219.78,110.97,11.93,13.94,172.41,18.4,126.93,1.1153
2020-01-08,172.92,35.68088,302.56,136.92,127.75,560.55,67.91,219.67,110.92,11.89,13.91,173.35,18.45,126.85,1.1105
2020-01-09,175.07,36.0018,305.7,138.05,129.03,561.27,68.06,219.82,111.24,11.93,14.21,174.97,18.5,126.88,1.1106
2020-01-10,175.65,35.99173,305.01,138.16,128.88,561.72,68.28,220.07,113.19,11.94,14.27,174.57,18.5,126.92,1.1121
2020-01-13,175.65,35.85278,306.43,137.73,129.71,561.74,67.99,220.03,111.64,11.95,14.4,174.89,18.46,126.9,1.1134
2020-01-14,175.31,36.05247,305.83,138.19,130.12,562.92,68.17,220.03,111.54,11.96,14.37,174.19,18.49,126.92,1.1128
2020-01-15,174.45,36.10862,306.35,138.93,129.7,562.96,68.17,220.18,111.71,11.96,14.37,172.91,18.47,126.92,1.115
2020-01-16,173.76,36.27301,309.46,138.98,130.92,564.01,68.42,220.14,111.54,11.96,14.4,173.91,18.54,127.0,1.1137
2020-01-17,174.56,36.57921,312.08,140.52,131.98,565.79,69.19,220.31,111.48,11.98,14.46,174.49,18.6,127.07,1.1092
2020-01-20,175.55,36.64742,312.45,140.94,132.19,566.31,69.34,220.38,111.4,12.0,14.4,174.49,18.63,127.09,1.1095
2020-01-21,175.26,36.46772,311.85,140.36,131.52,566.1,69.15,220.51,111.82,11.99,14.14,173.08,18.6,127.09,1.1082
2020-01-22,176.83,36.60473,312.96,141.76,132.02,566.26,69.37,220.6,111.48,11.97,14.24,173.73,18.65,127.09,1.1093
2020-01-23,177.5,36.41299,314.23,140.64,132.48,567.12,68.99,220.71,111.65,12.01,14.06,173.5,18.68,127.03,1.1055
2020-01-24,177.54,36.61921,312.47,142.6,131.41,569.85,69.69,220.83,111.85,12.0,14.09,172.81,18.66,127.03,1.1025
2020-01-27,175.54,35.77848,308.53,138.64,129.24,566.02,68.05,220.99,111.83,11.98,13.69,170.55,18.67,126.81,1.1019
2020-01-28,174.24,35.90699,312.54,138.94,130.78,568.05,68.3,220.93,111.52,11.96,13.68,171.72,18.74,126.82,1.1022
2020-01-29,173.8,36.13812,313.0,140.1,130.4,568.93,68.75,221.25,111.37,11.98,13.81,172.06,18.78,126.89,1.101
