Date,LU1893597309,WQDA NA,PIRPEUR LX,LU1919842267,9888 HK,LU0154236417,LU1883854199,BEAN SW,LU0072462186,NVDA US,LU1191877379,SIE GY,PFLDCPE LX,LU1244893696,ASML NA,ALGAATU LX,FFGLCAE LX
2022-01-03,200.0,6.28837,290.43,167.28,16.32248,51.08118,449.93,546.65077,84.98,26.69355,12.81,153.72,445.38,249.77,701.7,27.43708,19.61
2022-01-04,200.69,6.36975,294.08,164.43,16.46115,51.54064,448.18,538.70259,86.51,25.93412,12.85,155.42,448.82,250.54,681.3,27.78466,19.48
2022-01-05,199.42,6.37774,290.09,157.5,15.73293,51.15069,437.67,543.8188,86.39,24.34001,12.86,157.96,442.24,246.54,670.9,27.16692,19.36
2022-01-06,194.8,6.34225,282.44,158.72,16.11582,50.26558,438.18,531.83468,85.33,24.94511,12.86,154.16,433.19,246.59,658.5,26.01806,19.01
2022-01-07,194.23,6.33451,284.34,156.37,16.82396,50.21573,432.55,536.66518,85.23,23.99137,12.88,152.16,439.06,245.44,664.9,25.90473,18.73
2022-01-10,188.23,6.31627,274.08,159.23,17.18865,49.4748,433.16,493.66621,84.37,24.18572,12.84,147.88,427.76,245.94,622.3,25.54506,18.52
2022-01-11,188.63,6.34983,278.63,161.64,16.55051,49.74458,438.12,496.18201,84.98,24.49974,12.83,150.3,435.42,248.47,627.0,25.76185,18.98
2022-01-12,191.4,6.34638,284.97,161.24,17.42617,50.48934,435.99,495.60817,85.81,24.4661,12.84,152.22,443.14,248.77,646.3,25.97868,19.03
2022-01-13,190.3,6.36812,283.39,155.97,17.14105,50.65876,427.0,490.64514,86.08,23.18733,12.84,151.5,437.54,246.38,662.8,25.92269,18.93
2022-01-14,185.1,6.34529,276.66,157.23,16.88867,50.17541,428.13,463.41745,85.64,23.62919,12.83,145.86,430.92,246.9,642.2,25.13594,18.7
2022-01-17,185.46,6.3888,276.66,157.79,16.5905,50.1402,428.13,458.6976,86.21,23.62919,12.82,146.0,430.92,246.9,656.2,25.13594,18.78
